iter	Passed	Remaining
0	162	16051
1	177	8720
2	198	6428
3	217	5215
4	235	4479
5	244	3831
6	263	3498
7	281	3236
8	299	3029
9	319	2879
10	341	2765
11	361	2647
12	379	2539
13	397	2441
14	415	2356
15	437	2294
16	455	2222
17	473	2158
18	493	2102
19	511	2046
20	530	1995
21	549	1946
22	568	1903
23	587	1859
24	607	1823
25	627	1787
26	649	1756
27	667	1716
28	686	1680
29	704	1643
30	722	1608
31	740	1573
32	760	1543
33	779	1512
34	797	1480
35	815	1449
36	833	1419
37	856	1396
38	876	1370
39	899	1348
40	919	1322
41	946	1307
42	966	1280
43	986	1255
44	1025	1252
45	1062	1247
46	1097	1237
47	1159	1255
48	1189	1237
49	1209	1209
50	1228	1180
51	1246	1150
52	1265	1122
53	1285	1094
54	1303	1066
55	1322	1039
56	1341	1011
57	1360	985
58	1378	958
59	1399	933
60	1417	906
61	1435	879
62	1461	858
63	1480	832
64	1498	807
65	1517	781
66	1535	756
67	1554	731
68	1579	709
69	1598	685
70	1617	660
71	1635	636
72	1653	611
73	1673	587
74	1692	564
75	1710	540
76	1728	516
77	1746	492
78	1764	469
79	1782	445
80	1801	422
81	1820	399
82	1839	376
83	1863	354
84	1882	332
85	1900	309
86	1918	286
87	1935	263
88	1953	241
89	1971	219
90	1989	196
91	2010	174
92	2028	152
93	2046	130
94	2064	108
95	2082	86
96	2102	65
97	2126	43
98	2148	21
99	2167	0
